AC | Ampla concorrência
PCD/SOLDADO + RENDA | Candidato (s) com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica
PCD/SOLDADO + RENDA | Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica
PCD/SOLDADO + RENDA | Candidatos com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administraçã o penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de vulnerabilidade econômica
PCD/SOLDADO | ¿   CANDIDATOS COM DEFICIÊNCIA, OU FILHOS DE POLICIAIS CIVIS, MILITARES, BOMBEIROS MILITARES, INSPETORES DE SEGURANÇA E ADMINISTRAÇÃO PENITENCIÁRIA, MORTOS OU INCAPACITADOS EM RAZÃO DO SERVIÇO
PPI + EP | (as) autodeclarados pretos, pardos ou indígenas que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas brasileiras. (L4)
PPI + EP | autodeclarados pretos, pardos ou indígenas que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas. (L4)
PPI + EP | Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + EP | Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + EP | Candidatos que tenha cursado integral e exclusivamente os ensinos fundamental e médio em estabelecimentos da rede pública de ensino e que se autodeclarem negros.
PPI + EP | L6 - Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + EP | NEGROS (pretos e pardos) que cursaram integralmente o Ensino Médio em escolas públicas (Banca avaliadora obrigatória)
PPI + PCD + EP | Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + PCD + RENDA + EP | Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)
PPI + RENDA + EP | (as) autodeclarados pretos, pardos ou indígenas com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas brasileiras. (L2)
PPI + RENDA + EP | autodeclarados pretos, pardos ou indígenas com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas. (L2)
PPI + RENDA + EP | Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + RENDA + EP | Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + RENDA + EP | L2 - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PPI + RENDA | A2 - Candidatos negros ou indígenas com comprovação de carência socioeconômica
PPI + RENDA | Candidato (s) negros ou indígenas com comprovação de carência socioeconômica
PPI + RENDA | Candidatos Negros ou Indígenas com comprovação de carência socioeconômica
PPI + RENDA | Candidatos negros ou indígenas com comprovação de carência socioeconômica.
PPI | autodeclarados Pretos, Pardos e Indígenas
PPI | Cota Social - Pretos, Pardos ou Indígenas
PPI | PPI - Cota Social - Pretos, Pardos ou Indígenas
PPI/QUILOMBOLA + RENDA + EP | AF1: Pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);
PPI/QUILOMBOLA + RENDA + EP | Ação Afirmativa 1: 45% (quarenta e cinco por cento) para pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita de até um salário mínimo e meio (1,5).
PPI/QUILOMBOLA + RENDA + EP | Ação Afirmativa 1: Pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita mensal de até um salário mínimo e meio (1,5).
PPI/QUILOMBOLA + RENDA | (s) A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
PPI/QUILOMBOLA + RENDA | A2 - Candidatos negros, indígenas e quilombolas com comprovação de carência socioeconômica
PPI/QUILOMBOLA + RENDA | A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de  Comunidades Quilombolas
PPI/QUILOMBOLA + RENDA | Ação Afirmativa 1 - Pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5).
PPI/QUILOMBOLA + RENDA | Candidato (s) NEGROS, INDÍGENAS OU QUILOMBOLAS COM COMPROVAÇÃO DE CARÊNCIA SOCIOECONÔMICA
PPI/QUILOMBOLA + RENDA | Candidatos A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
PPI/QUILOMBOLA + RENDA | Candidatos Negros ou Indígenas ou Quilombolas com comprovação de carência socioeconômica
PPI/QUILOMBOLA + RENDA | Candidatos negros, indígenas ou oriundos de comunidades quilombolas com comprovação de carência socioeconômica.
PPI/QUILOMBOLA + RENDA | Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas com comprovação de carência socioeconômica
PPI/QUILOMBOLA | A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
PRETO/PARDO + EP | autodeclarados negros (somatório das categorias pretos e pardos, segundo classificação étnico-racial adotada pelo IBGE) que tenham cursado o ensino fundamental 2 (do 6º ao 9º ano) e ensino medio completo ( incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil. Vedado aos portadores de diploma de nível superior
PRETO/PARDO + EP | autodeclarados negros que tenham cursado todo o 2º ciclo do Ensino Fundamental (5ª a 8ª séries) e todo o Ensino Médio, única e exclusivamente, na rede pública de ensino no Brasil.
PRETO/PARDO + EP | Candidato (s) autodeclarados negros (somatório das categorias pretos e pardos, segundo classificação étnico-racial adotada pelo IBGE) que tenham cursado o ensino fundamental 2 (do 6º ao 9º ano) e ensino medio completo ( incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil. Vedado aos portadores de diploma de nível superior
PRETO/PARDO + EP | Candidato (s) autodeclarados negros que tenham cursado todo o 2º ciclo do Ensino Fundamental (5ª a 8ª séries) e todo o Ensino Médio, única e exclusivamente, na rede pública de ensino no Brasil.
PRETO/PARDO + EP | Candidato (s) Negros ou pardos que cursaram integralmente o Ensino Médio em escolas públicas
PRETO/PARDO + EP | Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que se autodeclararam negros.
PRETO/PARDO + EP | Candidatos autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PRETO/PARDO + EP | Candidatos autodeclarados pretos ou pardos, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PRETO/PARDO + EP | Candidatos Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
PRETO/PARDO + EP | Candidatos pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas;
PRETO/PARDO + EP | Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
PRETO/PARDO + EP | NEEP - Negros, de baixa renda que sejam egresso de escola pública:
PRETO/PARDO + EP | Negros/as (Pretos/as ou Pardos/as) que cursaram integralmente o Ensino Médio em escolas públicas
PRETO/PARDO + EP | pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas.
PRETO/PARDO + EP | Pretos e Pardos, que tenham cursado integralmente o Ensino Médio em Escolas Públicas;
PRETO/PARDO + EP | que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES NEGROS
PRETO/PARDO + EP | que se autodeclaram negros (pretos e pardos), que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior.
PRETO/PARDO + EP | que se autodeclararem Pretos ou Partos e que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, desde que não tenham concluído curso de graduação (Vaga PP)
PRETO/PARDO + EP | que se declararem negros que tenham cursado todo o ensino médio e pelo menos dois anos do Ensino Fundamental II em escola pública seguindo a ordem de classificação
PRETO/PARDO + EP | que se declararem negros que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública
PRETO/PARDO + EP | que se declararem negros que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental II em escola pública seguindo a ordem de classificação
PRETO/PARDO + QUILOMBOLA | Candidatos afrodescendentes residentes em quilombos
PRETO/PARDO + RENDA + EP | autodeclarados negros que tenham cursado todo o 2º ciclo do ensino fundamental (5ª a 8ª séries) e todo o ensino médio, única e exclusivamente, em escola pública e que tenham renda bruta familiar mensal igual ou inferior a 04 salários mínimos.
PRETO/PARDO + RENDA + EP | autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1,5 salários mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Resolução CONSEPE nº 5.668/2023)
PRETO/PARDO + RENDA + EP | Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PRETO/PARDO + RENDA + EP | Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PRETO/PARDO + RENDA + EP | Candidatos Negros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
PRETO/PARDO + RENDA + EP | Candidatos Negros, de baixa renda que sejam egresso de escola pública:
PRETO/PARDO + RENDA + EP | Candidatos que se declararem negros (pretos e pardos) e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública (renda familiar de 1,5 salários mínimos per capita)
PRETO/PARDO + RENDA + EP | Categoria I - Candidatos declarados negros, de baixa renda e egressos de escola pública
PRETO/PARDO + RENDA + EP | que se declararem negros que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública seguindo a ordem de classificação
PRETO/PARDO + RENDA | Candidato (s) economicamente hipossuficientes negros e pardos
PRETO/PARDO | autodeclarados Negros (Denominada A2)
PRETO/PARDO | autodeclarados Negros (Pretos e Pardos) (Denominada A2)
PRETO/PARDO | autodeclarados negros de forma irrestrita, independente do percurso de formação.
PRETO/PARDO | autodeclarados negros e que não tenham concluído curso de graduação.
PRETO/PARDO | Candidato (s) negros, entendidos como candidatos que possuem fenótipo que os caracterizem, na sociedade, como pertencentes ao grupo racial negro
PRETO/PARDO | Candidatos autodeclarados negros de forma irrestrita, independente do percurso de formação.
PRETO/PARDO | Candidatos autodeclarados negros e que não tenham concluído curso de graduação.
PRETO/PARDO | Estudantes Negros
PRETO/PARDO | Negros
PRETO/PARDO | Negros (pretos ou pardos) (Denominada A2)
PRETO/PARDO | negros, entendidos como candidatos que possuem fenótipo que os caracterizem, na sociedade, como pertencentes ao grupo racial negro
PROFESSOR | Candidato (s) Docentes de Escola Pública - Candidatos que comprovarem atuação como docente, em algum momento (passado ou presente), na Rede Pública de Ensino.
PROFESSOR | Candidatos (as) Docentes de Escola Pública - Candidatos(as) que comprovarem atuação como docente, em algum momento (passado ou presente), na Rede Pública de Ensino.
PROFESSOR | Candidatos professores em exercício do magistério da Pré-Escola, do Ensino Fundamental e Médio da rede pública se ensino.
PROFESSOR | Candidatos professores em exercício do magistério do ensino fundamental e médio da rede pública de ensino.
PROFESSOR | professores em exercício do magistério da Pré-Escola, do Ensino Fundamental e Médio da rede pública de ensino.
QUILOMBOLA + EP | Candidatos autodeclarados quilombolas, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
QUILOMBOLA + EP | pertencentes a povos de comunidades remanescentes de quilombos ou comunidades identitárias tradicionais, que tenham cursado integralmente o ensino médio em escolas públicas.
QUILOMBOLA + RENDA + EP | Candidatos autodeclarados quilombolas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
QUILOMBOLA + RENDA + EP | Candidatos membros de comunidade quilombola e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
QUILOMBOLA + RENDA + EP | Candidatos Quilombolas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
QUILOMBOLA + RENDA + EP | Categoria II - Candidatos declarados quilombolas, de baixa renda e egressos de escola pública
QUILOMBOLA + RENDA + EP | quilombolas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
QUILOMBOLA | Candidato (s) Quilombolas
QUILOMBOLA | Candidatos Candidatos Quilombolas-Resolução n° 78/2022 CONSUP/IFBA
QUILOMBOLA | Candidatos quilombolas e que não tenham concluído curso de graduação.
QUILOMBOLA | Candidatos Quilombolas-Resolução n° 76/2022 CONSUP/IFBA
QUILOMBOLA | de comunidades remanescentes de quilombos ou comunidades identitárias tradicionais
QUILOMBOLA | membros de comunidade quilombola
QUILOMBOLA | Quilombola
QUILOMBOLA | quilombolas e que não tenham concluído curso de graduação.
REFUGIADO + RENDA | Refugiados e Solicitantes de Refúgio em situação de Vulnerabilidade Econômica
REFUGIADO | 01 vaga adicional em cada curso para pessoas em situação de refúgio, asilo político, apátrida, acolhida humanitária ou sob outras políticas humanitárias no Brasil.
REFUGIADO | em situação de privação de liberdade ou egressas do sistema prisional ou refugiadas
REFUGIADO | Refugiados e Solicitantes de Refúgio, independentemente de renda familiar
REGIONAL | 4% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 -  Acréscimo de até 4% (quatro por cento) na nota final para alunos que estudaram os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas.
REGIONAL | 5% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 - Acréscimo de 5% (cinco por cento) na nota final para alunos que estudaram os últimos quatro anos do ensino fundamental (do 6o ao 9o ano) e os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas.
REGIONAL | A7 - Candidatos residentes na Microrregião Bragantina, Estado do Pará, nos seguintes municípios: Augusto Corrêa, Bonito, Bragança, Capanema, Igarapé, Nova Timboteua, Peixe-Boi, Primavera, Quatipuru, Santa Maria do Pará, Santarém Novo, São Francisco do Pará, Tracuateua.
REGIONAL | Argumento de Inclusão Regional
REGIONAL | BE - Candidatos que atendam aos critérios estabelecidos pela Resolução nº 43/2021 CONSEPE /UFPB para bonificação de inclusão estadual: para os candidatos que pleiteiam vaga em cursos de graduação da UFPB, via SiSU, que residem e comprovem residência no Estado da Paraíba e tenham estudado integralmente o Ensino Médio em escolas regulares, públicas e/ou privadas, ou tenham obtido o certificado de Ensino Médio pela Educação de Jovens e Adultos (EJA), ou pelo Exame Nacional para Certificação de Competências para Jovens e Adultos (ENCCEJA) no Estado da Paraíba.
REGIONAL | Bônus Regional de 10% para os candidatos que estudaram integralmente todo o ensino médio em escolas do Estado de Alagoas
REGIONAL | Candidato (s) deverão ter concluído o Ensino Médio ou equivalente no Estado do Pará e residir no Estado do Pará, excluindo-se aqueles que residem nos municípios de Belém, Ananindeua e Marituba.
REGIONAL | Candidato (s) que comprovem residência em Fortaleza ou em  um dos municípios da Região Metropolitana  de Fortaleza do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Baturité do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Cariri-Centro Sul do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Litoral Leste-Jaguaribe do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Litoral Oeste  do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sertão Central  do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sertão dos Inhamuns do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sobral-Ibiapaba  do Estado do Ceará, estabelecida pelo IPECE;
REGIONAL | Candidato (s) que tenham concluído o Ensino Médio no Estado do Ceará;
REGIONAL | Candidatos ao Critério de Inclusão Regional
REGIONAL | Candidatos deverão ter concluído o Ensino Médio ou equivalente no estado do Pará e residir no estado do Pará, excluindo-se aqueles que residem nos municípios de Belém, Ananindeua e Marituba.
REGIONAL | Candidatos que concluíram o Ensino Fundamental e cursaram todo o Ensino Médio em escolas regulares presenciais, públicas ou privadas, nas microrregiões de Borborema Potiguar-RN, Seridó Ocidental-RN, Seridó Oriental-RN, Agreste Potiguar-RN, Angicos-RN, Serra de Santana-RN, Vale do Açu-RN, Catolé do Rocha-PB, Curimataú Ocidental-PB, Curimataú Oriental-PB, Patos-PB, Seridó Ocidental Paraibano-PB, Seridó Oriental Paraibano-PB ou Sousa-PB, excluídos aqueles que concluíram o Ensino Fundamental e/ou o Ensino Médio por meio de exames supletivos.
REGIONAL | Candidatos que cursaram integralmente o Ensino Médio em escolas regulares e presenciais, públicas e privadas dos municípios do Estado do Piauí
REGIONAL | Candidatos que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
REGIONAL | Candidatos que tenham cursado integralmente o ensino médio ou médio integrado ao técnico ou médio cursado integralmente em escola pública junto ao técnico no Colégio Técnico Dom Agostinho Ikas - CODAI, vinculado à UFRPE.
REGIONAL | Candidatos que tenham cursado pelo menos um ano do ensino médio nos municípios que integram as regiões de influência das cidades nas quais estão implantados os campi da Unifesspa: Marabá, Rondon do Pará, Xinguara, São Felix do Xingu e Santana do Araguaia; e dos municípios que integram as regiões de influência das cidades de Imperatriz-MA e Araguaina-TO.
REGIONAL | Candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano.
REGIONAL | Candidatos residentes na região de abrangência do IFTM, até o raio de 100 km dos campi ou limítrofe do município
REGIONAL | Candidatos residentes na área de abrangência do IFMS.
REGIONAL | Candidatos(as) ao regime de cotas para Residentes em Mato Grosso do Sul
REGIONAL | com requisitos para utilização do Argumento de Inclusão Regional
REGIONAL | concorrentes às vagas de ampla concorrência para o Curso de Medicina - Natal que tiverem cursado todo o ensino médio em escolas regulares do Estado do Rio Grande do Norte, excluídos aqueles que concluíram o ensino médio por meio de exames supletivos, Exame Nacional para Certificação de Competências de Jovens e Adultos - ENCCEJA e equivalentes.
REGIONAL | Critério de Inclusão Regional (Bônus de 10%)
REGIONAL | Critério de Inclusão Regional (Bônus de 10%), de acordo com a Resolução nº 22/2015 - CONSUNI/UFAL, de 04 de maio de 2015.
REGIONAL | Estudantes que residem e cursaram todo o ensino médio em escolas regulares e presenciais no estado da Paraíba
REGIONAL | para o curso de Medicina do Campus de Recife, aos/às candidatos/as que tiverem cursado e concluído TODO o ensino médio em escolas regulares e presenciais no Estado de Pernambuco
REGIONAL | para o curso de Medicina do Campus de Recife, aos/às candidatos/as que tiverem cursado e concluído, NO MÍNIMO, 2/3 DO ENSINO MÉDIO (dois anos completos dos três anos previstos) nas escolas regulares e presenciais no Estado de Pernambuco.
REGIONAL | Para os cursos de graduação dos campi Agreste e Vitória: candidatos/as que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano. Para o curso de Medicina do Campus de Recife: candidatos/as que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais no Estado de Pernambuco.
REGIONAL | que comprovem ter cursado e concluído todo o Ensino Médio, na forma regular ou técnico-profissionalizante, em escola (s) pública (s) ou privada (s) localizada (s) em município (s) baiano (s) distante (s) até 150 quilômetros de qualquer campus da Universidade Federal do Oeste da Bahia - UFOB.
REGIONAL | que comprovem ter cursado e concluído todo o Ensino Médio, na forma regular ou técnico-profissionalizante, em escolas públicas ou privadas localizadas nos municípios baianos distantes até 150 quilômetros de qualquer campus da UFOB (Resolução CONEPE nº 009/2015 e Resolução CONEPE nº 007/2017).
REGIONAL | que concluíram o Ensino Fundamental e cursaram todo o Ensino Médio em escolas regulares presenciais, públicas ou privadas, nas microrregiões de Borborema Potiguar-RN, Seridó Ocidental-RN, Seridó Oriental-RN, Agreste Potiguar-RN, Angicos-RN, Serra de Santana-RN, Vale do Açu-RN, Catolé do Rocha-PB, Curimataú Ocidental-PB, Curimataú Oriental-PB, Patos-PB, Seridó Ocidental Paraibano-PB, Seridó Oriental Paraibano-PB ou Sousa-PB, excluídos aqueles que concluíram o Ensino Fundamental e/ou o Ensino Médio por meio de exames supletivos.
REGIONAL | que cursaram integralmente o Ensino Médio em escolas regulares e presenciais, públicas e privadas dos municípios do Estado do Piauí
REGIONAL | que cursaram o último ano do Ensino Fundamental (9º ano) e os três anos do Ensino Médio (1º ao 3º ano) em escolas públicas ou privadas do Estado do Maranhão
REGIONAL | que cursaram o último ano do Ensino Fundamental (9º ano) e os três anos do Ensino Médio (1º ao 3º ano) em escolas públicas ou privadas do Estado do Maranhão.
REGIONAL | que residam e tenham cursado e concluído integralmente o ensino médio em instituições de ensino, públicas ou privadas presenciais, localizadas na Região do Cariri Cearense, que optarem pelo instrumento de inclusão regional (Resolução Câmara Acadêmica Nº 01 de 11 de dezembro de 2020) terão bonificação de 4% (quatro por cento) na nota final do ENEM.
REGIONAL | que residam e tenham cursado todo o ensino médio em instituições (da rede pública ou privada) de Ensino do Estado da Paraíba (Lei nº 12.122 de 09 de Novembro de 2021)
REGIONAL | que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
REGIONAL | que tenham cursado pelo menos um ano do ensino médio nas escolas dos municípios que integram as regiões de influência das cidades nas quais estão implantadas os Campi da Unifesspa: Marabá, Rondon do Pará, Xinguara, São Feliz do Xingu e Santana do Araguaia; e dos municípios que integram as regiões de influência das cidades de Imperatriz-MA e Araguaina-TO.
REGIONAL | que tenham cursado todo o Ensino Médio, presencial e regular, em escolas privadas ou públicas da região do Estado do Acre.
REGIONAL | que tiverem cursado e concluído TODO o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano.
REGIONAL | que tiverem cursado e concluído, NO MÍNIMO, 2/3 DO ENSINO MÉDIO em escolas regulares e presenciais das mesorregiões da Zona da Mata pernambucana e do Agreste pernambucano
REGIONAL | Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas
REGIONAL | Residentes em Mato Grosso do Sul
REGIONAL | Será atribuído um bônus de 20% (vinte por cento) sobre o resultado obtido no ENEM  aos candidatos que cursaram integralmente o Ensino Médio ou equivalente em Instituições de ensino regulares, públicas ou privadas, situadas no Estado do Amapá ou no Pará, especificamente, na Mesorregião do Marajó ou ainda no Município de Almeirim
REGIONAL | terão direito ao argumento de inclusão regional, para o curso de Direito oferecido no Campus Benfica, para o curso de Medicina oferecido no Campus Santo Amaro e para o curso de Odontologia oferecido no Campus Camaragibe, os candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões Metropolitana do Recife e da Mata Pernambucana identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística ¿ IBGE.
REGIONAL | terão direito ao argumento de inclusão regional, para o curso de Direito oferecido no Campus Benfica, para o curso de Medicina oferecido no Campus Santo Amaro e para o curso de Odontologia oferecido no Campus Santo Amaro (Antigo curso do Campus Camaragibe), os candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões Metropolitana do Recife e da Mata Pernambucana identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE.
REGIONAL | terão direito ao argumento de inclusão regional, para o curso de Medicina oferecido no Campus Garanhuns, desde que tenham cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem na mesorregião do Agreste Pernambuco, identificada de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE.
REGIONAL | terão direito ao argumento de inclusão regional, para o curso de Medicina oferecido no Campus Garanhuns, os candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem na mesorregião do Agreste Pernambuco, identificada de acordo com a definição do Instituto Brasileiro de Geografia e Estatística ¿ IBGE.
REGIONAL | terão direito ao argumento de inclusão regional, para os cursos de Direito e Odontologia oferecidos no Campus Arcoverde, assim como para o curso de Medicina oferecido no Campus Serra Talhada, desde que tenham cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões do Sertão Pernambuco ou do São Francisco Pernambucano, identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE.
REGIONAL | terão direito ao argumento de inclusão regional, para os cursos de Direito e Odontologia oferecidos no Campus Arcoverde, assim como para o curso de Medicina oferecido no Campus Serra Talhada, os candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões do Sertão Pernambuco ou do São Francisco Pernambucano, identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística ¿ IBGE.
